name,number,description,color,region,origin_highway,destination_highway,origin_transit,destination_transit,origin_bike,destination_bike,origin_walk,destination_walk,origin_truck,destination_truck
District 3,3,Back Bay and South End,#ff7f00,Southwest,108545,104873,74970,76863,9678,9113,79917,80441,46184,46703
District 10,10,"Roxbury, Jamaica Plain, Roslindale (part), Mattapan (part)",#ff7f00,Southwest,134520,135267,44986,45147,8096,8978,57213,59329,23424,23690
District 17,17,"Hyde Park, West Roxbury, Roslindale (part), Dedham",#ff7f00,Southwest,249905,250722,23912,22543,6007,5248,28538,28538,35874,36204
District 27,27,"Millis, Medfield, Westwood, Norwood, Norfolk, Walpole, Sharon",#ff7f00,Southwest,361343,361128,7097,7004,4512,4563,32003,32003,51894,52402
District 28,28,"Canton, Stoughton, Randolph, Avon, Holbrook",#ff7f00,Southwest,251047,250181,5581,5362,3122,3122,20589,20589,48601,49014
District 38,38,"Medway, Franklin, Bellingham, Milford, Hopedale, Mendon, Blackstone, Millville, Uxbridge",#ff7f00,Southwest,331854,334527,900,853,3455,3455,22717,22717,49566,48829
District 39,39,"Foxborough, Wrentham, Mansfield, Plainville, North Attleborough, Attleboro, Norton",#ff7f00,Southwest,432026,432630,2441,2339,4795,4795,33379,33379,73426,71269
District 40,40,"East Bridgewater, West Bridgewater, Easton, Bridgewater, Raynham,Taunton, Middleborough, Lakeville",#ff7f00,Southwest,427381,433329,1063,825,4376,4471,41915,41916,77649,76281
District 53,53,Rhode Island,#ff7f00,Southwest,150489,150479,0,0,0,0,0,0,46900,47125
District 9,9,"Brookline, Allston, Brighton",#ff7f00,West,333657,330843,132203,132383,22209,24135,198896,201963,81167,82084
District 16,16,Newton,#ff7f00,West,274921,273330,24183,23043,7193,6874,58001,57844,38338,38715
District 25,25,"Wayland, Weston, Natick, Wellesley, Needham, Dover",#ff7f00,West,423298,422648,10011,9680,5208,5143,47154,47165,57352,58009
District 26,26,"Sudbury, Framingham, Ashland, Holliston, Sherborn",#ff7f00,West,308906,308472,2829,2667,3397,3445,25825,25832,55982,56214
District 37,37,"Hudson, Marlborough, Southborough, Hopkinton, Berlin, Northborough, Westborough, Upton, Northbridge",#ff7f00,West,396778,401875,1185,1132,1927,1927,13377,13377,85454,82838
District 52,52,Western Massachusetts,#ff7f00,West,235833,235864,0,0,0,0,0,0,57982,58151
District 7,7,Somerville,#a65628,Northwest,120252,120349,31684,31085,7861,7794,64530,65192,23858,24102
District 8,8,Cambridge,#a65628,Northwest,331851,326922,131049,133339,23419,24214,224117,224992,66852,67648
District 14,14,"Arlington, Belmont, Watertown",#a65628,Northwest,317292,317154,26957,25958,9011,8919,57794,58323,34812,35169
District 15,15,"Lexington, Waltham",#a65628,Northwest,301975,302315,13119,12944,6562,6295,50931,50331,50247,50683
District 24,24,"Acton, Carlisle, Maynard, Concord, Bedford, Lincoln",#a65628,Northwest,334071,335713,4180,3772,4046,4046,21406,21406,36123,36372
District 36,36,"Stow, Bolton, Boxborough, Littleton, Westford, Pepperell, Groton, Ayer, Harvard, Clinton, Lancaster, Shirley",#a65628,Northwest,314291,313104,870,846,2764,2764,16813,16813,45134,44016
District 6,6,"Charlestown, Malden, Medford, Everett",#e41a1c,North,250555,250736,42747,42144,9767,10558,72285,72366,58369,58920
District 13,13,"Woburn, Stoneham, Winchester",#e41a1c,North,390350,393040,17006,16434,5708,5655,45067,45067,64214,64872
District 21,21,"Reading, North Reading, Wilmington",#e41a1c,North,221785,221063,3239,3014,2177,2177,18547,18547,32635,32718
District 22,22,"North Andover, Andover, Tewksbury",#e41a1c,North,289314,291340,1907,1679,3628,3528,29400,29089,50906,50331
